sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-14DAQ-0011-R4a-SM-5YYAI"	"GTEX-14DAQ"	"Brain - Amygdala"	32	29	3.49650756146648	3.40119738166216
"GTEX-14DAQ-0011-R5b-SM-5YYAK"	"GTEX-14DAQ"	"Brain - Caudate (basal ganglia)"	61	44	4.12713438504509	3.80666248977032
"GTEX-14DAQ-3026-SM-5S2QZ"	"GTEX-14DAQ"	"Brain - Cerebellum"	20	18	3.04452243772342	2.94443897916644
"GTEX-14DAQ-3126-SM-62LDS"	"GTEX-14DAQ"	"Brain - Cortex"	102	73	4.63472898822964	4.30406509320417
"GTEX-14E6C-0011-R9a-SM-6EU33"	"GTEX-14E6C"	"Brain - Spinal cord (cervical c-1)"	51	49	3.95124371858143	3.91202300542815
"GTEX-14E6D-0011-R10a-SM-5YY9C"	"GTEX-14E6D"	"Brain - Frontal Cortex (BA9)"	124	94	4.8283137373023	4.55387689160054
"GTEX-14E6D-0011-R11b-SM-664NP"	"GTEX-14E6D"	"Brain - Cerebellar Hemisphere"	5	13	1.79175946922806	2.63905732961526
"GTEX-14E6D-0011-R1b-SM-5YYAW"	"GTEX-14E6D"	"Brain - Hippocampus"	61	45	4.12713438504509	3.8286413964891
"GTEX-14E6D-0011-R5b-SM-69LQR"	"GTEX-14E6D"	"Brain - Caudate (basal ganglia)"	39	37	3.68887945411394	3.63758615972639
"GTEX-14E6D-2926-SM-664OP"	"GTEX-14E6D"	"Brain - Cerebellum"	8	7	2.19722457733622	2.07944154167984
"GTEX-14E7W-0011-R10a-SM-5YYAX"	"GTEX-14E7W"	"Brain - Frontal Cortex (BA9)"	76	52	4.34380542185368	3.97029191355212
"GTEX-14E7W-0011-R11a-SM-5ZZVA"	"GTEX-14E7W"	"Brain - Cerebellar Hemisphere"	15	14	2.77258872223978	2.70805020110221
"GTEX-14E7W-0011-R1b-SM-5YYAT"	"GTEX-14E7W"	"Brain - Hippocampus"	69	50	4.24849524204936	3.93182563272433
"GTEX-14E7W-0011-R3b-SM-5YYB5"	"GTEX-14E7W"	"Brain - Anterior cingulate cortex (BA24)"	50	30	3.93182563272433	3.43398720448515
"GTEX-14E7W-0011-R4b-SM-62LEA"	"GTEX-14E7W"	"Brain - Amygdala"	19	20	2.99573227355399	3.04452243772342
"GTEX-14E7W-0011-R6b-SM-5ZZV3"	"GTEX-14E7W"	"Brain - Nucleus accumbens (basal ganglia)"	40	40	3.71357206670431	3.71357206670431
"GTEX-14E7W-0011-R7b-SM-5ZZV4"	"GTEX-14E7W"	"Brain - Putamen (basal ganglia)"	14	12	2.70805020110221	2.56494935746154
"GTEX-14E7W-0011-R9a-SM-62LE6"	"GTEX-14E7W"	"Brain - Spinal cord (cervical c-1)"	37	64	3.63758615972639	4.17438726989564
"GTEX-14E7W-2926-SM-5S2R8"	"GTEX-14E7W"	"Brain - Cerebellum"	7	6	2.07944154167984	1.94591014905531
"GTEX-14JFF-0011-R4a-SM-5ZZV5"	"GTEX-14JFF"	"Brain - Amygdala"	13	7	2.63905732961526	2.07944154167984
"GTEX-14JFF-2826-SM-6871Q"	"GTEX-14JFF"	"Brain - Cerebellum"	18	8	2.94443897916644	2.19722457733622
"GTEX-14JG1-0011-R2a-SM-5ZZVE"	"GTEX-14JG1"	"Brain - Substantia nigra"	40	31	3.71357206670431	3.46573590279973
"GTEX-14JG1-0011-R3a-SM-62LEC"	"GTEX-14JG1"	"Brain - Anterior cingulate cortex (BA24)"	69	68	4.24849524204936	4.23410650459726
"GTEX-14JG1-0011-R4b-SM-62LEB"	"GTEX-14JG1"	"Brain - Amygdala"	38	19	3.66356164612965	2.99573227355399
"GTEX-14JG1-0011-R5a-SM-62LED"	"GTEX-14JG1"	"Brain - Caudate (basal ganglia)"	19	13	2.99573227355399	2.63905732961526
"GTEX-14JG1-0011-R6b-SM-5YYAU"	"GTEX-14JG1"	"Brain - Nucleus accumbens (basal ganglia)"	66	50	4.20469261939097	3.93182563272433
"GTEX-14JG1-0011-R7b-SM-5YYAV"	"GTEX-14JG1"	"Brain - Putamen (basal ganglia)"	49	56	3.91202300542815	4.04305126783455
"GTEX-14JG1-2926-SM-686ZK"	"GTEX-14JG1"	"Brain - Cerebellum"	26	21	3.29583686600433	3.09104245335832
"GTEX-14JG1-3026-SM-5YYAA"	"GTEX-14JG1"	"Brain - Cortex"	85	65	4.45434729625351	4.18965474202643
"GTEX-14JIY-0011-R10a-SM-6AJAO"	"GTEX-14JIY"	"Brain - Frontal Cortex (BA9)"	52	54	3.97029191355212	4.00733318523247
"GTEX-14JIY-0011-R1a-SM-68713"	"GTEX-14JIY"	"Brain - Hippocampus"	31	27	3.46573590279973	3.3322045101752
"GTEX-14JIY-0011-R3a-SM-5YYAQ"	"GTEX-14JIY"	"Brain - Anterior cingulate cortex (BA24)"	46	51	3.85014760171006	3.95124371858143
"GTEX-14JIY-0011-R4b-SM-5ZZV7"	"GTEX-14JIY"	"Brain - Amygdala"	77	51	4.35670882668959	3.95124371858143
"GTEX-14JIY-0011-R5b-SM-62LE7"	"GTEX-14JIY"	"Brain - Caudate (basal ganglia)"	35	44	3.58351893845611	3.80666248977032
"GTEX-14JIY-0011-R6b-SM-68714"	"GTEX-14JIY"	"Brain - Nucleus accumbens (basal ganglia)"	77	60	4.35670882668959	4.11087386417331
"GTEX-14JIY-0011-R8a-SM-6AJAP"	"GTEX-14JIY"	"Brain - Hypothalamus"	25	24	3.25809653802148	3.2188758248682
