lipid	n_pcs	cumulative_ld_variance	lipid_total_estimate	lipid_total_p	lipid_instrument_F	lipid_to_splice_estimate	lipid_to_splice_se	lipid_to_splice_p	first_step_instrument_F	splice_direct_estimate	splice_direct_p	lipid_direct_estimate	lipid_direct_p	splice_conditional_F	lipid_conditional_F	attenuation_fraction	indirect_estimate	indirect_se	indirect_p	posterior_probability_indirect_positive	all_strength_F_ge_10	confirmatory_mediation	status	minimum_conditional_F
"nonHDL"	3	0.131326952677397	6.86337249162257	0.0173529842260977	9.68179691382299	89.5159328718122	67.1537277360708	0.182531736365044	9.95026282158028	0.0573311315813779	0.000252000652183036	1.96152015814998	0.130452286923204	13.579433399587	9.64500981321344	0.714204618714166	5.13204972610365	4.09736776837424	0.210379143367554	0.908631130549691	FALSE	FALSE	"completed"	9.64500981321344
"nonHDL"	4	0.155808473947808	6.64490877693157	0.00793933433049691	7.49974491187261	37.7156276072747	50.8178014854593	0.457982198142024	9.8142225637045	0.0552673822880327	0.000211377459610012	1.69060270098811	0.157838288762974	9.19986943615535	6.83012343186406	0.745579246045153	2.08444400920433	2.86436156951418	0.466786969703446	0.770951615755978	FALSE	FALSE	"completed"	6.83012343186406
"nonHDL"	5	0.179948537108722	0.7908936392692	0.798790381403211	8.60588159063873	36.8531289247938	42.9262661458483	0.39060447984277	7.88375454165622	0.0557275382433037	9.89339726218485e-05	1.61497287306119	0.170814419618712	7.41673500285223	5.36980471928237	-1.04195961741891	2.05373415154185	2.44964867515656	0.401817846604682	0.804667615118761	FALSE	FALSE	"completed"	5.36980471928237
"nonHDL"	6	0.201125625956122	1.69931325551088	0.514673427959513	7.45041271355032	15.2949325449156	40.6370437335912	0.706635107076627	7.23112984770508	0.0592495757512274	0.0128617996372673	0.607888220333831	0.67157007630463	6.50912455573787	4.76375878698967	0.642274184372748	0.906218264429892	2.43513148150116	0.709786037062389	0.644795846224992	FALSE	FALSE	"completed"	4.76375878698967
"nonHDL"	7	0.220799519095938	3.27889100019273	0.109749399374789	6.95292787005254	9.47176462564169	23.6140730252444	0.68834151455802	6.26745222537717	0.0613519281903337	0.00190745682061661	0.775211257533884	0.532219547199435	5.72534797700835	4.23322122760314	0.763575166881633	0.581111023148112	1.46081281353062	0.69077777576389	0.65553200516911	FALSE	FALSE	"completed"	4.23322122760314
"nonHDL"	8	0.239723502015756	3.02808192477321	0.14181789869712	6.25217477382253	2.66225655080342	13.3875256223038	0.842371488288435	7.01731646995012	0.0514724017462289	0.0299237256516377	1.51386230347956	0.25680821347314	5.0189491571951	3.73975240769721	0.500059000684751	0.137032738734483	0.691972638994065	0.843020012315198	0.576455839686116	FALSE	FALSE	"completed"	3.73975240769721
"nonHDL"	9	0.258235329852746	2.4779262147084	0.141865897534465	6.43463188505246	4.301214209176	14.6511053032764	0.769081848482813	6.28093284274188	0.0458655204766864	0.0594794752559408	1.88256864435197	0.166238537280549	4.35443120534343	3.26105888311439	0.240264446464353	0.197277428385577	0.680084652078051	0.771756754218569	0.608591630518937	FALSE	FALSE	"completed"	3.26105888311439
"nonHDL"	10	0.274938506423136	2.49547826818925	0.104881548957621	6.20886950811127	-9.10322599866101	10.1045532164118	0.367639701712082	6.10620080035595	0.054024770396955	0.00842457306939333	1.4803296137203	0.215498269848124	4.81875352529611	3.44519409839647	0.406795229359201	-0.491799694449252	0.576930798164902	0.393969153122573	0.186483533625596	FALSE	FALSE	"completed"	3.44519409839647
"nonHDL"	11	0.290481815047783	2.79252185643481	0.0548310161945888	6.08151203639079	-11.7087662037843	10.0824082429421	0.245517278078563	5.87897705888086	0.0579537029352239	0.00170850331364586	1.42069137306801	0.195798047818588	4.37611477616698	3.21194806908071	0.49125147586784	-0.678566358312103	0.623073225283714	0.276125848342043	0.123403157154527	FALSE	FALSE	"completed"	3.21194806908071
"nonHDL"	12	0.305135698924048	2.21561100755506	0.109301732471278	6.09257932628936	-11.3120111867732	9.30655014891411	0.224179565786045	5.43154374540624	0.0599887392538508	7.54065754040923e-05	1.39616076515174	0.0747856101899154	5.79927227559507	4.57094237589453	0.369852938809683	-0.678593289519979	0.584013849929854	0.245256890728762	0.112119033874059	FALSE	FALSE	"completed"	4.57094237589453
"nonHDL"	13	0.319581706658549	1.71974747558989	0.167074531783156	6.42834844048958	-13.9204234230412	17.3876052416341	0.423366359275906	6.66656541284042	0.0616812300170805	3.27573704552947e-05	1.30148204773763	0.0931045603391466	5.40110278559389	4.30262265392173	0.243213282059794	-0.858628839091758	1.09223137088198	0.431795089211577	0.211692624138846	FALSE	FALSE	"completed"	4.30262265392173
"nonHDL"	14	0.332687946843977	2.25092428571641	0.0461474767781392	6.44543938964954	-15.6927379660338	15.7577889424954	0.319312428504454	6.21319412732862	0.0473886142124552	0.000398443450999665	1.4021953354415	0.0527774046386584	7.25076264320067	4.93633145705439	0.377057973766886	-0.743657105409523	0.775708116680542	0.337719166091131	0.159791822004747	FALSE	FALSE	"completed"	4.93633145705439
"nonHDL"	15	0.345344527261232	2.35690815220649	0.0151535011448619	6.56755207180905	-13.5608193855168	12.7778522450993	0.288564792811124	5.95851712100601	0.0443341732646743	0.000874491677845778	0.985856084517359	0.190145073440076	7.21198868883784	4.64371524968848	0.581716375500496	-0.601207716248456	0.594601264550928	0.31196343729347	0.144593468489569	FALSE	FALSE	"completed"	4.64371524968848
"nonHDL"	20	0.40527701182958	2.28961259698221	0.0098913428284852	5.28414295007848	29.9348962342866	13.9362752266932	0.0317150263773606	5.02770929164325	0.0332650384003422	0.00779337958690988	1.40585001976565	0.0663293387744001	6.3432051061387	3.64814248123392	0.385987820988315	0.995785472743801	0.595788845634249	0.0946479982270081	0.980369380637449	FALSE	FALSE	"completed"	3.64814248123392
"nonHDL"	25	0.458292210735739	1.88295875792755	0.0161770303446793	4.76357247096042	25.2799628147087	9.93531888996971	0.0109448697388665	4.85466734281873	0.0257742059858829	0.0274914912100944	1.75219967091457	0.0189002820957633	5.91784189551378	3.06118055099389	0.069443415296521	0.651570968901764	0.391069151185476	0.095688072315785	0.98093226492063	FALSE	FALSE	"completed"	3.06118055099389
"nonHDL"	30	0.503259228737905	1.62750985883268	0.0174877363748407	4.36714021687831	21.952124723669	8.75127650253527	0.0121262709581472	4.20483949848408	0.0331449285859509	0.00108382260670368	1.31518973427877	0.0473824047877435	5.92287509138707	2.92351890902235	0.191900603771406	0.727601606275896	0.365665479370065	0.0466128402208599	0.993401524580874	FALSE	FALSE	"completed"	2.92351890902235
